"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "XML", "HTML", "Markdown", "PHP", "comment", "blank", "total"
"e:\wamp64\www\ppscpi_lms\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\wamp64\www\ppscpi_lms\client\src\assets\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\wamp64\www\ppscpi_lms\client\src\components\AdminIcons.jsx", "JavaScript JSX", 0, 0, 138, 0, 0, 0, 0, 0, 1, 8, 147
"e:\wamp64\www\ppscpi_lms\client\src\components\AdminLayout.css", "PostCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\wamp64\www\ppscpi_lms\client\src\components\AdminLayout.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\wamp64\www\ppscpi_lms\client\src\components\AdminSidebar.css", "PostCSS", 0, 65, 0, 0, 0, 0, 0, 0, 0, 10, 75
"e:\wamp64\www\ppscpi_lms\client\src\components\AdminSidebar.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
"e:\wamp64\www\ppscpi_lms\client\src\components\CashierLayout.css", "PostCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\wamp64\www\ppscpi_lms\client\src\components\CashierLayout.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\wamp64\www\ppscpi_lms\client\src\components\CashierSidebar.css", "PostCSS", 0, 62, 0, 0, 0, 0, 0, 0, 0, 10, 72
"e:\wamp64\www\ppscpi_lms\client\src\components\CashierSidebar.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
"e:\wamp64\www\ppscpi_lms\client\src\components\Navbar.css", "PostCSS", 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"e:\wamp64\www\ppscpi_lms\client\src\components\PageBackground.css", "PostCSS", 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"e:\wamp64\www\ppscpi_lms\client\src\components\PageBackground.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"e:\wamp64\www\ppscpi_lms\client\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"e:\wamp64\www\ppscpi_lms\client\src\components\StudentSidebar.css", "PostCSS", 0, 68, 0, 0, 0, 0, 0, 0, 0, 12, 80
"e:\wamp64\www\ppscpi_lms\client\src\components\StudentSidebar.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 0, 8, 76
"e:\wamp64\www\ppscpi_lms\client\src\components\navbar.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"e:\wamp64\www\ppscpi_lms\client\src\config\api.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\wamp64\www\ppscpi_lms\client\src\config\navLinks.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 1, 3, 25
"e:\wamp64\www\ppscpi_lms\client\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"e:\wamp64\www\ppscpi_lms\client\src\index.css", "PostCSS", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
